SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.03133037175590367;96.591925128346
117122;GreyMatter;0.6804331955113481;20.322401432901575
117122;Hippocampus;0.10694079209498765;88.6904729945669
117122;Thalamus;0.11211835064526282;71.11258679024411
117122;WhiteMatter;0.7911181740720497;19.026297590440446
117122-PP;Amygdala;0.03133037175590367;96.591925128346
117122-PP;GreyMatter;0.6804331955113481;20.322401432901575
117122-PP;Hippocampus;0.10694079209498765;88.6904729945669
117122-PP;Thalamus;0.11211835064526282;71.11258679024411
117122-PP;WhiteMatter;0.7911181740720497;19.026297590440446
118528;Amygdala;0.03578601424137302;93.8296328459192
118528;GreyMatter;0.6765109207888648;21.18962010041709
118528;Hippocampus;0.11324455129218992;89.11228871485683
118528;Thalamus;0.13932929758816182;71.2460525222275
118528;WhiteMatter;0.8005137759463429;24.939927826679853
118528-PP;Amygdala;0.03578601424137302;93.8296328459192
118528-PP;GreyMatter;0.6765109207888648;21.18962010041709
118528-PP;Hippocampus;0.11324455129218992;89.11228871485683
118528-PP;Thalamus;0.13932929758816182;71.2460525222275
118528-PP;WhiteMatter;0.8005137759463429;24.939927826679853
118730;Amygdala;0.023679659438605827;90.95603333479313
118730;GreyMatter;0.6767449712363811;20.639767440550294
118730;Hippocampus;0.07197069984996911;85.39906322671227
118730;Thalamus;0.07341158934227687;71.35825109964509
118730;WhiteMatter;0.7841549853304149;20.85665361461421
118730-PP;Amygdala;0.023679659438605827;90.95603333479313
118730-PP;GreyMatter;0.6767449712363811;20.639767440550294
118730-PP;Hippocampus;0.07197069984996911;85.39906322671227
118730-PP;Thalamus;0.07341158934227687;71.35825109964509
118730-PP;WhiteMatter;0.7841549853304149;20.85665361461421
118932;Amygdala;0.02438065277231616;96.1405221537724
118932;GreyMatter;0.6894880112380886;20.248456731316587
118932;Hippocampus;0.06194760309210353;87.0976463516667
118932;Thalamus;0.16020331325301204;68.9129886160802
118932;WhiteMatter;0.8033808316866832;23.043437243605826
118932-PP;Amygdala;0.02438065277231616;96.1405221537724
118932-PP;GreyMatter;0.6894880112380886;20.248456731316587
118932-PP;Hippocampus;0.06194760309210353;87.0976463516667
118932-PP;Thalamus;0.16020331325301204;68.9129886160802
118932-PP;WhiteMatter;0.8033808316866832;23.043437243605826
120111;Amygdala;0.07896505376344086;92.05433178292046
120111;GreyMatter;0.6787723191247806;18.920887928424502
120111;Hippocampus;0.08583723675692144;79.88116173416608
120111;Thalamus;0.10434828551804301;70.45565981523414
120111;WhiteMatter;0.8220202742292708;24.020824298928627
120111-PP;Amygdala;0.07896505376344086;92.05433178292046
120111-PP;GreyMatter;0.6787723191247806;18.920887928424502
120111-PP;Hippocampus;0.08583723675692144;79.88116173416608
120111-PP;Thalamus;0.10434828551804301;70.45565981523414
120111-PP;WhiteMatter;0.8220202742292708;24.020824298928627
122317;Amygdala;0.05303030303030303;95.9218431849597
122317;GreyMatter;0.6796588688167826;21.283796653792763
122317;Hippocampus;0.07862248213125406;86.97700845625813
122317;Thalamus;0.06059718111759018;75.02666192761077
122317;WhiteMatter;0.8000902545862069;20.639767440550294
122317-PP;Amygdala;0.05303030303030303;95.9218431849597
122317-PP;GreyMatter;0.6796588688167826;21.283796653792763
122317-PP;Hippocampus;0.07862248213125406;86.97700845625813
122317-PP;Thalamus;0.06059718111759018;75.02666192761077
122317-PP;WhiteMatter;0.8000902545862069;20.639767440550294
122620;Amygdala;0.0759323852964851;91.28526715741155
122620;GreyMatter;0.6883874363161864;22.40535650240808
122620;Hippocampus;0.08449763714814054;85.8894638474359
