SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0;inf
117122;GreyMatter;0.67325141023067;20.322401432901575
117122;Hippocampus;0.0;inf
117122;Thalamus;0.0020757087452886874;70.45565981523414
117122;WhiteMatter;0.7934672319372116;19.026297590440446
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.67325141023067;20.322401432901575
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0020757087452886874;70.45565981523414
117122-PP;WhiteMatter;0.7934672319372116;19.026297590440446
118528;Amygdala;0.0;inf
118528;GreyMatter;0.6728964381501505;21.18962010041709
118528;Hippocampus;0.0;inf
118528;Thalamus;0.0037387059923148823;69.13031173081747
118528;WhiteMatter;0.7998480131907818;24.939927826679853
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.6728964381501505;21.18962010041709
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0037387059923148823;69.13031173081747
118528-PP;WhiteMatter;0.7998480131907818;24.939927826679853
118730;Amygdala;0.0;inf
118730;GreyMatter;0.68039174212853;20.639767440550294
118730;Hippocampus;0.0;inf
118730;Thalamus;0.0030477849134646785;70.15696686716153
118730;WhiteMatter;0.780878008805743;20.85665361461421
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.68039174212853;20.639767440550294
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0030477849134646785;70.15696686716153
118730-PP;WhiteMatter;0.780878008805743;20.85665361461421
118932;Amygdala;0.0;inf
118932;GreyMatter;0.6873022441268978;20.396078054371138
118932;Hippocampus;0.0;inf
118932;Thalamus;0.004713433284861857;68.65129277733959
118932;WhiteMatter;0.8086152867035149;22.9128784747792
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.6873022441268978;20.396078054371138
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.004713433284861857;68.65129277733959
118932-PP;WhiteMatter;0.8086152867035149;22.9128784747792
120111;Amygdala;0.0;inf
120111;GreyMatter;0.6706641779973572;18.920887928424502
120111;Hippocampus;0.0;inf
120111;Thalamus;0.004084197298146403;72.09022125087424
120111;WhiteMatter;0.8267542807418462;24.020824298928627
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.6706641779973572;18.920887928424502
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.004084197298146403;72.09022125087424
120111-PP;WhiteMatter;0.8267542807418462;24.020824298928627
122317;Amygdala;0.0;inf
122317;GreyMatter;0.6777713554836045;21.283796653792763
122317;Hippocampus;0.0;inf
122317;Thalamus;0.0016991391028545538;74.06753674856482
122317;WhiteMatter;0.8004911171671167;20.639767440550294
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.6777713554836045;21.283796653792763
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0016991391028545538;74.06753674856482
122317-PP;WhiteMatter;0.8004911171671167;20.639767440550294
122620;Amygdala;0.0;inf
122620;GreyMatter;0.6881957616173844;22.40535650240808
122620;Hippocampus;0.0;inf
122620;Thalamus;0.001984541466471694;70.09992867328754
122620;WhiteMatter;0.778927846831611;29.765752132274432
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.6881957616173844;22.40535650240808
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.001984541466471694;70.09992867328754
122620-PP;WhiteMatter;0.778927846831611;29.765752132274432
123117;Amygdala;0.0;inf
123117;GreyMatter;0.6699159681873826;22.338307903688676
123117;Hippocampus;0.0;inf
123117;Thalamus;0.0035997882477501325;68.07348970047003
123117;WhiteMatter;0.8150596040219757;22.22611077089287
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.6699159681873826;22.338307903688676
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0035997882477501325;68.07348970047003
123117-PP;WhiteMatter;0.8150596040219757;22.22611077089287
123925;Amygdala;0.0;inf
123925;GreyMatter;0.6604584722420421;20.248456731316587
123925;Hippocampus;0.0;inf
123925;Thalamus;0.0009991507218863967;72.01388754955533
123925;WhiteMatter;0.7974109260313098;23.600847442411894
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.6604584722420421;20.248456731316587
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0009991507218863967;72.01388754955533
123925-PP;WhiteMatter;0.7974109260313098;23.600847442411894
124422;Amygdala;0.0;inf
124422;GreyMatter;0.6561511285100488;21.213203435596427
124422;Hippocampus;0.0;inf
124422;Thalamus;0.002088881925949136;68.4470598345904
124422;WhiteMatter;0.7511627411956279;26.570660511172846
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.6561511285100488;21.213203435596427
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.002088881925949136;68.4470598345904
124422-PP;WhiteMatter;0.7511627411956279;26.570660511172846
